code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,total_clicks,active_days,clicks_day30,clicks_day60,clicks_day100,click_std,unique_activity_types,last_active_day,avg_assessment_score,score_std,num_assessments_submitted,tma_avg_score,exam_avg_score,late_submissions,num_modules_registered,withdrew,withdrawal_day,early_withdraw,registered_late,target,gender_enc,region_enc,highest_education_enc,imd_band_enc,age_band_enc,disability_enc,code_module_enc,code_presentation_enc
AAA,2013J,57506,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass,1319.0,90.0,532.0,697.0,845.0,4.020462333907471,8.0,243.0,74.0,5.656854249492381,5.0,74.0,0.0,0.0,1,0,999.0,0,0,1,1,8,2,7,1,0,0,1
AAA,2013J,58873,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,1732.0,120.0,516.0,751.0,870.0,3.2481240146182886,8.0,256.0,73.2,3.5637059362410923,5.0,73.2,0.0,1.0,1,0,999.0,0,0,1,0,0,0,2,0,0,0,1
AAA,2013J,59185,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,1102.0,61.0,532.0,700.0,761.0,3.8155085939892124,7.0,245.0,78.6,9.864076236526156,5.0,78.6,0.0,0.0,1,0,999.0,0,0,1,1,0,2,6,1,0,0,1
AAA,2013J,62155,F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,Pass,3388.0,148.0,675.0,1075.0,1689.0,2.975604835346528,8.0,265.0,76.0,5.6568542494923815,5.0,76.0,0.0,0.0,1,0,999.0,0,0,1,0,5,1,5,0,0,0,1
AAA,2013J,63400,M,Scotland,Lower Than A Level,40-50%,35-55,0,60,N,Pass,2737.0,175.0,761.0,1017.0,1514.0,4.254765395347589,7.0,268.0,71.6,16.742162345408076,5.0,71.6,0.0,0.0,1,0,999.0,0,0,1,1,6,2,4,1,0,0,1
AAA,2013J,65002,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,N,Withdrawn,176.0,13.0,97.0,173.0,174.0,3.0773576116743193,6.0,215.0,67.0,1.1547005383792515,4.0,67.0,0.0,0.0,2,1,96.0,0,0,0,0,0,0,7,0,0,0,1
AAA,2013J,70464,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,1053.0,46.0,406.0,520.0,592.0,5.37431053934495,9.0,248.0,55.6,9.864076236526156,5.0,55.6,0.0,0.0,1,0,999.0,0,0,1,0,11,0,6,1,0,0,1
AAA,2013J,71361,M,Ireland,HE Qualification,,35-55,0,60,N,Pass,2327.0,135.0,1095.0,1404.0,1614.0,3.1676908121766605,8.0,243.0,80.4,4.39317652729776,5.0,80.4,0.0,0.0,1,0,999.0,0,0,1,1,2,1,-1,1,0,0,1
AAA,2013J,74372,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0,150,N,Fail,116.0,14.0,39.0,76.0,76.0,1.4097802801091608,6.0,213.0,48.5,21.641010450839243,4.0,48.5,0.0,2.0,1,0,999.0,0,0,0,1,0,0,1,1,0,0,1
AAA,2013J,75091,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,2992.0,122.0,987.0,1346.0,1565.0,4.488917454432629,7.0,254.0,66.0,1.0000000000000004,5.0,66.0,0.0,1.0,1,0,999.0,0,0,1,1,9,0,3,1,0,0,1
AAA,2013J,77367,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,680.0,86.0,293.0,393.0,406.0,2.35994894582989,6.0,250.0,70.4,4.82700735445887,5.0,70.4,0.0,1.0,1,0,999.0,0,0,1,1,1,0,3,0,0,0,1
AAA,2013J,91265,M,North Western Region,HE Qualification,0-10%,0-35,0,60,N,Pass,1494.0,125.0,335.0,653.0,821.0,2.637693903774617,7.0,259.0,70.8,7.758865896508328,5.0,70.8,0.0,5.0,1,0,999.0,0,0,1,1,5,1,0,0,0,0,1
AAA,2013J,94961,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Withdrawn,1240.0,93.0,583.0,873.0,873.0,2.9420320326420732,6.0,265.0,65.33333333333333,8.115828156551045,6.0,65.33333333333333,0.0,1.0,2,1,72.0,0,0,0,1,8,2,7,1,0,0,1
AAA,2013J,98094,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,Pass,2839.0,91.0,1144.0,1523.0,1724.0,9.677444071663642,7.0,264.0,60.6,1.51657508881031,5.0,60.6,0.0,0.0,1,0,999.0,0,0,1,1,10,2,7,1,0,0,1
AAA,2013J,100893,M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,744.0,52.0,134.0,342.0,398.0,3.42455527309575,8.0,250.0,68.4,4.27784992724149,5.0,68.4,0.0,2.0,1,0,999.0,0,0,1,1,12,0,2,0,0,0,1
AAA,2013J,101781,M,South Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass,4104.0,144.0,1431.0,1860.0,2243.0,5.561086980036472,7.0,268.0,72.6,7.987490219086344,5.0,72.6,0.0,0.0,1,0,999.0,0,0,1,1,8,2,8,1,0,0,1
AAA,2013J,102806,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,1944.0,177.0,559.0,841.0,964.0,2.1504792222024074,7.0,267.0,78.0,10.677078252031311,5.0,78.0,0.0,0.0,1,0,999.0,0,0,1,1,5,0,3,0,0,0,1
AAA,2013J,102952,M,London Region,HE Qualification,60-70%,0-35,0,60,N,Pass,1150.0,58.0,369.0,487.0,501.0,3.713609923605412,7.0,246.0,76.6,5.412947441089744,5.0,76.6,0.0,0.0,1,0,999.0,0,0,1,1,3,1,6,0,0,0,1
AAA,2013J,104476,M,Ireland,Post Graduate Qualification,,35-55,0,60,N,Pass,4777.0,161.0,1303.0,1524.0,1938.0,10.544281759696586,8.0,258.0,79.6,3.209361307176242,5.0,79.6,0.0,2.0,1,0,999.0,0,0,1,1,2,4,-1,1,0,0,1
AAA,2013J,106247,M,South Region,HE Qualification,80-90%,35-55,0,60,N,Withdrawn,465.0,33.0,217.0,355.0,408.0,3.9596867014886863,7.0,150.0,60.0,11.269427669584644,3.0,60.0,0.0,2.0,1,1,175.0,0,1,0,1,8,1,8,1,0,0,1
AAA,2013J,106577,M,East Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass,733.0,47.0,318.0,390.0,401.0,3.720843046150259,5.0,253.0,53.4,9.96493853468249,5.0,53.4,0.0,1.0,1,0,999.0,0,0,1,1,1,2,2,0,0,0,1
AAA,2013J,110175,M,East Anglian Region,HE Qualification,80-90%,35-55,0,60,N,Pass,998.0,70.0,205.0,413.0,468.0,3.261595710856658,6.0,242.0,63.4,6.580273550544841,5.0,63.4,0.0,1.0,1,0,999.0,0,0,1,1,0,1,8,1,0,0,1
AAA,2013J,111717,F,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,Pass,2343.0,136.0,656.0,993.0,1407.0,4.718380810309517,9.0,249.0,81.0,1.7320508075688772,3.0,81.0,0.0,0.0,1,0,999.0,0,0,1,0,0,1,9,1,0,0,1
AAA,2013J,113295,M,Yorkshire Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,3553.0,195.0,981.0,1589.0,2007.0,4.010960258816111,8.0,261.0,77.6,2.1908902300206634,5.0,77.6,0.0,3.0,1,0,999.0,0,0,1,1,12,2,6,1,0,0,1
AAA,2013J,114017,F,North Region,Post Graduate Qualification,,35-55,0,60,N,Pass,757.0,50.0,343.0,479.0,484.0,3.9244320543223887,6.0,257.0,71.8,3.7682887362833544,5.0,71.8,0.0,0.0,1,0,999.0,0,0,1,0,4,4,-1,1,0,0,1
AAA,2013J,114999,M,Yorkshire Region,HE Qualification,60-70%,35-55,0,60,N,Pass,1358.0,120.0,418.0,597.0,741.0,2.8868621032648405,8.0,264.0,72.8,10.756393447619885,5.0,72.8,0.0,2.0,1,0,999.0,0,0,1,1,12,1,6,1,0,0,1
AAA,2013J,116541,M,Wales,HE Qualification,0-10%,0-35,0,60,N,Pass,1886.0,108.0,455.0,611.0,862.0,4.205671080570343,7.0,242.0,62.4,9.528903399657276,5.0,62.4,0.0,4.0,1,0,999.0,0,0,1,1,10,1,0,0,0,0,1
AAA,2013J,116692,M,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,N,Pass,1108.0,98.0,530.0,645.0,794.0,3.4866229761807244,6.0,228.0,74.2,3.0331501776206204,5.0,74.2,0.0,0.0,1,0,999.0,0,0,1,1,0,0,7,1,0,0,1
AAA,2013J,118983,M,East Midlands Region,HE Qualification,30-40%,0-35,0,120,N,Pass,284.0,27.0,59.0,127.0,127.0,2.5820523362229255,6.0,268.0,61.8,10.256705123966467,5.0,61.8,0.0,0.0,1,0,999.0,0,0,1,1,1,1,3,0,0,0,1
AAA,2013J,123044,M,South Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,2041.0,127.0,638.0,1009.0,1187.0,3.5690653680702096,8.0,247.0,71.4,2.607680962081061,5.0,71.4,0.0,1.0,1,0,999.0,0,0,1,1,8,0,4,1,0,0,1
AAA,2013J,127582,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,180,N,Pass,1321.0,89.0,302.0,536.0,616.0,4.165428200012517,6.0,240.0,69.6,3.577708763999661,5.0,69.6,0.0,3.0,1,0,999.0,0,0,1,0,1,0,4,0,0,0,1
AAA,2013J,129955,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Withdrawn,1888.0,110.0,529.0,1020.0,1359.0,4.0334689932919625,8.0,141.0,81.0,4.09878030638384,6.0,81.0,0.0,1.0,2,1,135.0,0,0,0,1,11,0,5,0,0,0,1
AAA,2013J,132976,F,East Anglian Region,Lower Than A Level,80-90%,35-55,0,120,N,Pass,520.0,32.0,157.0,157.0,157.0,3.322662133416623,8.0,242.0,67.4,5.770615218501402,5.0,67.4,0.0,0.0,1,0,999.0,0,0,1,0,0,2,8,1,0,0,1
AAA,2013J,134143,F,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Distinction,2732.0,138.0,753.0,922.0,1332.0,5.595923893061459,8.0,268.0,84.4,2.40831891575846,5.0,84.4,0.0,0.0,1,0,999.0,0,0,1,0,7,0,9,1,0,0,1
AAA,2013J,135335,F,East Anglian Region,Lower Than A Level,20-30%,0-35,0,180,N,Withdrawn,73.0,14.0,73.0,73.0,73.0,1.4798106541691454,3.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,24.0,1,0,0,0,0,2,2,0,0,0,1
AAA,2013J,135400,F,South East Region,Lower Than A Level,90-100%,35-55,0,60,Y,Withdrawn,610.0,43.0,301.0,368.0,480.0,4.034626735636948,6.0,233.0,53.142857142857146,9.788233947425033,7.0,53.142857142857146,0.0,4.0,2,1,144.0,0,0,0,0,7,2,9,1,1,0,1
AAA,2013J,137873,M,South West Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,5528.0,192.0,1054.0,1960.0,2744.0,4.552387749828511,7.0,250.0,80.2,5.630275304103698,5.0,80.2,0.0,0.0,1,0,999.0,0,0,1,1,9,0,4,1,0,0,1
AAA,2013J,141355,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,240,N,Pass,1823.0,92.0,524.0,788.0,848.0,2.7765208489801494,7.0,256.0,72.6,2.880972058177588,5.0,72.6,0.0,1.0,1,0,999.0,0,0,1,0,1,0,3,0,0,0,1
AAA,2013J,141377,M,South West Region,A Level or Equivalent,90-100%,0-35,0,345,N,Withdrawn,756.0,41.0,91.0,381.0,383.0,2.927405474348399,8.0,241.0,48.833333333333336,9.968283035040018,6.0,48.833333333333336,0.0,3.0,2,1,129.0,0,0,0,1,9,0,9,0,0,0,1
AAA,2013J,142326,F,North Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,2121.0,95.0,451.0,538.0,860.0,3.7177430603976447,7.0,242.0,73.6,6.268971207462992,5.0,73.6,0.0,1.0,1,0,999.0,0,0,1,0,4,0,5,1,0,0,1
AAA,2013J,144801,F,South Region,HE Qualification,80-90%,35-55,0,60,N,Pass,5645.0,200.0,1128.0,1689.0,2261.0,3.341266324793647,9.0,267.0,68.8,7.758865896508329,5.0,68.8,0.0,2.0,1,0,999.0,0,0,1,0,8,1,8,1,0,0,1
AAA,2013J,145130,M,South West Region,HE Qualification,60-70%,0-35,0,120,N,Pass,452.0,35.0,219.0,258.0,275.0,3.317472392159001,5.0,261.0,54.4,14.758048651498612,5.0,54.4,0.0,2.0,1,0,999.0,0,0,1,1,9,1,6,0,0,0,1
AAA,2013J,146188,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,Y,Fail,597.0,32.0,132.0,267.0,267.0,2.8731498713513144,7.0,255.0,50.0,8.74642784226795,5.0,50.0,0.0,2.0,1,0,999.0,0,0,0,0,11,0,2,0,1,0,1
AAA,2013J,147756,M,North Region,Lower Than A Level,60-70%,0-35,0,120,N,Fail,1718.0,127.0,615.0,689.0,752.0,9.270635400478875,8.0,245.0,68.66666666666667,14.404860290887932,9.0,68.66666666666667,0.0,7.0,2,0,999.0,0,0,0,1,4,2,6,0,0,0,1
AAA,2013J,147793,F,North Region,Lower Than A Level,80-90%,0-35,0,90,N,Withdrawn,155.0,9.0,42.0,155.0,155.0,3.7981060748875306,5.0,59.0,52.0,0.0,1.0,52.0,0.0,1.0,1,1,58.0,0,0,0,0,4,2,8,0,0,0,1
AAA,2013J,148993,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn,3812.0,198.0,1143.0,1588.0,2061.0,2.9988179445938314,8.0,269.0,79.5,8.38365757206926,8.0,79.5,0.0,6.0,2,1,158.0,0,0,0,0,5,0,3,1,1,0,1
AAA,2013J,151358,F,London Region,A Level or Equivalent,80-90%,0-35,0,150,N,Pass,270.0,20.0,37.0,40.0,43.0,3.6101165877743893,6.0,242.0,50.0,3.6742346141747673,5.0,50.0,0.0,0.0,1,0,999.0,0,0,1,0,3,0,8,0,0,0,1
AAA,2013J,155550,M,London Region,A Level or Equivalent,0-10%,35-55,0,420,N,Pass,1529.0,81.0,459.0,578.0,652.0,4.340591543384445,6.0,243.0,67.0,5.147815070493501,5.0,67.0,0.0,1.0,1,0,999.0,0,0,1,1,3,0,0,1,0,0,1
AAA,2013J,155854,F,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,Pass,4003.0,202.0,1033.0,1514.0,1792.0,4.456223071563128,8.0,267.0,79.8,1.6431676725154978,5.0,79.8,0.0,0.0,1,0,999.0,0,0,1,0,1,0,2,1,0,0,1
AAA,2013J,155984,F,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,N,Withdrawn,2645.0,134.0,828.0,1122.0,1381.0,3.4567547050591143,8.0,243.0,78.14285714285714,6.229729031789729,7.0,78.14285714285714,0.0,4.0,2,1,191.0,0,0,0,0,0,2,7,0,0,0,1
AAA,2013J,157568,F,South West Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,1405.0,87.0,366.0,562.0,636.0,4.076841658847137,8.0,241.0,70.6,10.4546640309481,5.0,70.6,0.0,3.0,1,0,999.0,0,0,1,0,9,0,9,0,0,0,1
AAA,2013J,159954,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,60,N,Withdrawn,2062.0,124.0,705.0,1030.0,1331.0,3.5195440958271034,8.0,201.0,68.2,4.086563348340509,5.0,68.2,0.0,2.0,2,1,123.0,0,0,0,1,1,0,4,1,0,0,1
AAA,2013J,164259,M,Scotland,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,466.0,51.0,84.0,118.0,125.0,1.8142728820392888,6.0,263.0,71.8,9.338094023943,5.0,71.8,0.0,1.0,1,0,999.0,0,0,1,1,6,0,7,0,0,0,1
AAA,2013J,167906,F,Yorkshire Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,1510.0,99.0,426.0,636.0,755.0,3.1538443464941377,7.0,258.0,69.4,10.18822850156002,5.0,69.4,0.0,2.0,1,0,999.0,0,0,1,0,12,0,4,1,0,0,1
AAA,2013J,168936,F,West Midlands Region,Lower Than A Level,10-20,35-55,0,60,N,Pass,745.0,42.0,272.0,317.0,373.0,2.780549955265719,7.0,257.0,66.4,10.644247272588137,5.0,66.4,0.0,0.0,1,0,999.0,0,0,1,0,11,2,1,1,0,0,1
AAA,2013J,172112,M,Ireland,HE Qualification,,35-55,0,60,N,Pass,1939.0,135.0,291.0,402.0,550.0,2.8939225417928975,7.0,263.0,69.6,6.188699378706322,5.0,69.6,0.0,3.0,1,0,999.0,0,0,1,1,2,1,-1,1,0,0,1
AAA,2013J,172797,F,Ireland,A Level or Equivalent,,35-55,0,60,N,Pass,1782.0,86.0,244.0,298.0,337.0,5.291989877099289,8.0,268.0,61.4,5.272570530585626,5.0,61.4,0.0,2.0,1,0,999.0,0,0,1,0,2,0,-1,1,0,0,1
AAA,2013J,174782,M,East Anglian Region,HE Qualification,90-100%,55<=,0,60,N,Pass,6318.0,249.0,1581.0,2170.0,2943.0,3.525851354576568,8.0,268.0,80.4,2.60768096208106,5.0,80.4,0.0,0.0,1,0,999.0,0,0,1,1,0,1,9,2,0,0,1
AAA,2013J,175392,M,North Region,HE Qualification,,35-55,0,60,N,Pass,4447.0,197.0,1464.0,1943.0,2447.0,2.9001812917922654,7.0,266.0,82.4,7.23187389270582,5.0,82.4,0.0,0.0,1,0,999.0,0,0,1,1,4,1,-1,1,0,0,1
AAA,2013J,175932,M,North Western Region,HE Qualification,70-80%,35-55,0,60,N,Pass,2016.0,97.0,706.0,1325.0,1469.0,6.505404073332254,7.0,253.0,78.2,3.8987177379235836,5.0,78.2,0.0,2.0,1,0,999.0,0,0,1,1,5,1,7,1,0,0,1
AAA,2013J,175991,F,North Western Region,A Level or Equivalent,80-90%,0-35,0,180,N,Fail,138.0,17.0,94.0,101.0,101.0,4.321564342613325,5.0,242.0,37.6,9.071934744033381,5.0,37.6,0.0,2.0,1,0,999.0,0,0,0,0,5,0,8,0,0,0,1
AAA,2013J,180753,M,South West Region,A Level or Equivalent,30-40%,0-35,0,120,N,Pass,2012.0,157.0,616.0,825.0,1003.0,2.339325279931142,7.0,263.0,53.4,8.619744775803978,5.0,53.4,0.0,0.0,1,0,999.0,0,0,1,1,9,0,3,0,0,0,1
AAA,2013J,181316,F,South West Region,A Level or Equivalent,80-90%,35-55,0,120,N,Withdrawn,487.0,20.0,439.0,486.0,487.0,4.021946498879211,8.0,66.0,76.0,0.0,1.0,76.0,0.0,1.0,1,1,60.0,0,0,0,0,9,0,8,1,0,0,1
AAA,2013J,183096,F,South West Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,1975.0,116.0,717.0,957.0,1043.0,4.6904271814549325,7.0,242.0,54.0,2.8284271247461894,5.0,54.0,0.0,1.0,1,0,999.0,0,0,1,0,9,0,6,0,0,0,1
AAA,2013J,183947,M,London Region,A Level or Equivalent,10-20,0-35,0,180,N,Pass,964.0,58.0,254.0,365.0,376.0,2.88788653495716,7.0,253.0,49.0,12.668859459319927,5.0,49.0,0.0,2.0,1,0,999.0,0,0,1,1,3,0,1,0,0,0,1
AAA,2013J,184271,M,South West Region,HE Qualification,80-90%,35-55,0,170,N,Pass,1312.0,147.0,393.0,655.0,774.0,2.408542381899253,9.0,263.0,59.8,5.890670590009256,5.0,59.8,0.0,0.0,1,0,999.0,0,0,1,1,9,1,8,1,0,0,1
AAA,2013J,185439,M,London Region,HE Qualification,10-20,0-35,0,120,N,Fail,427.0,15.0,305.0,427.0,427.0,4.775888558519476,8.0,39.0,74.0,0.0,1.0,74.0,0.0,1.0,1,0,999.0,0,0,0,1,3,1,1,0,0,0,1
AAA,2013J,186149,M,Scotland,HE Qualification,30-40%,35-55,0,60,N,Pass,2136.0,109.0,851.0,981.0,1324.0,4.558384856214495,9.0,267.0,76.0,11.999999999999998,5.0,76.0,0.0,4.0,1,0,999.0,0,0,1,1,6,1,3,1,0,0,1
AAA,2013J,187100,M,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Distinction,8562.0,231.0,2608.0,3583.0,4234.0,4.955846794087942,7.0,265.0,89.2,1.095445115010332,5.0,89.2,0.0,0.0,1,0,999.0,0,0,1,1,7,0,5,1,0,0,1
AAA,2013J,188278,M,Yorkshire Region,A Level or Equivalent,70-80%,35-55,0,120,N,Withdrawn,4497.0,167.0,1761.0,2877.0,3206.0,3.3534129346278267,8.0,266.0,71.66666666666667,5.85377371160405,6.0,71.66666666666667,0.0,2.0,2,1,60.0,0,0,0,1,12,0,7,1,0,0,1
AAA,2013J,189879,M,Scotland,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,1541.0,84.0,480.0,587.0,718.0,3.267519863602821,8.0,248.0,79.4,6.268971207462994,5.0,79.4,0.0,1.0,1,0,999.0,0,0,1,1,6,0,9,0,0,0,1
AAA,2013J,192183,F,South West Region,Lower Than A Level,90-100%,0-35,0,60,N,Pass,3219.0,176.0,703.0,1029.0,1300.0,6.780217066543831,7.0,242.0,68.4,7.092249290598859,5.0,68.4,0.0,1.0,1,0,999.0,0,0,1,0,9,2,9,0,0,0,1
AAA,2013J,195262,M,London Region,A Level or Equivalent,90-100%,0-35,0,60,N,Withdrawn,1905.0,58.0,170.0,656.0,791.0,6.557931603235652,8.0,183.0,50.0,0.0,1.0,50.0,0.0,1.0,1,1,185.0,0,0,0,1,3,0,9,0,0,0,1
AAA,2013J,200860,M,London Region,Lower Than A Level,50-60%,35-55,0,60,N,Pass,534.0,81.0,253.0,307.0,335.0,2.089044399436302,6.0,252.0,54.4,13.296616110875728,5.0,54.4,0.0,1.0,1,0,999.0,0,0,1,1,3,2,5,1,0,0,1
AAA,2013J,202635,F,Wales,A Level or Equivalent,30-40%,0-35,0,60,N,Withdrawn,1418.0,47.0,835.0,1006.0,1132.0,5.030275072366054,7.0,143.0,66.66666666666667,4.163331998932267,3.0,66.66666666666667,0.0,3.0,1,1,166.0,0,0,0,0,10,0,3,0,0,0,1
AAA,2013J,205350,M,South West Region,HE Qualification,80-90%,35-55,0,60,N,Pass,1665.0,126.0,689.0,946.0,1052.0,3.0473653837167576,8.0,268.0,72.2,10.73312629199899,5.0,72.2,0.0,0.0,1,0,999.0,0,0,1,1,9,1,8,1,0,0,1
AAA,2013J,205719,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,90,Y,Fail,333.0,32.0,234.0,273.0,273.0,3.8138029364659474,6.0,215.0,56.666666666666664,14.571661996262929,3.0,56.666666666666664,0.0,2.0,1,0,999.0,0,0,0,1,0,0,4,0,1,0,1
AAA,2013J,227499,F,London Region,A Level or Equivalent,10-20,35-55,0,60,N,Distinction,2953.0,162.0,974.0,1316.0,1587.0,4.327660575777786,7.0,243.0,83.6,0.5477225575051643,5.0,83.6,0.0,0.0,1,0,999.0,0,0,1,0,3,0,1,1,0,0,1
AAA,2013J,227517,M,Ireland,HE Qualification,,0-35,0,180,N,Fail,1205.0,69.0,577.0,808.0,887.0,3.794254388249138,7.0,262.0,62.6,5.128352561983235,5.0,62.6,0.0,0.0,1,0,999.0,0,0,0,1,2,1,-1,0,0,0,1
AAA,2013J,228082,M,London Region,HE Qualification,60-70%,0-35,0,60,N,Pass,227.0,37.0,78.0,103.0,107.0,1.1159128271995518,7.0,243.0,72.4,9.502631214563678,5.0,72.4,0.0,0.0,1,0,999.0,0,0,1,1,3,1,6,0,0,0,1
AAA,2013J,228222,M,East Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,445.0,38.0,69.0,170.0,229.0,2.3459550142332515,6.0,243.0,61.8,10.183319694480774,5.0,61.8,0.0,3.0,1,0,999.0,0,0,1,1,1,2,5,0,0,0,1
AAA,2013J,229179,M,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,614.0,50.0,232.0,362.0,366.0,4.379484371457725,6.0,244.0,66.0,6.9641941385920605,5.0,66.0,0.0,0.0,1,0,999.0,0,0,1,1,11,0,2,0,0,0,1
AAA,2013J,229361,M,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,1215.0,123.0,184.0,366.0,440.0,3.796977374624981,7.0,268.0,78.0,3.24037034920393,5.0,78.0,0.0,0.0,1,0,999.0,0,0,1,1,1,0,5,0,0,0,1
AAA,2013J,231554,M,London Region,A Level or Equivalent,40-50%,0-35,0,240,N,Pass,1839.0,86.0,523.0,961.0,1082.0,5.107703805957681,7.0,249.0,67.75,8.341662504161464,4.0,67.75,0.0,2.0,1,0,999.0,0,0,1,1,3,0,4,0,0,0,1
