id_student,total_clicks,final_result
90243,1084,Pass
90361,183,Pass
90537,810,Pass
90651,195,Withdrawn
90836,205,Fail
90901,2315,Distinction
90979,168,Fail
91040,446,Withdrawn
91164,21,Fail
91265,1494,Pass
91322,1616,Pass
91354,103,Withdrawn
91470,1521,Pass
91629,1657,Fail
91801,1354,Withdrawn
92103,114,Withdrawn
92274,447,Withdrawn
92274,447,Withdrawn
92312,39,Fail
92341,957,Fail
92391,229,Fail
92775,10981,Fail
92832,1067,Pass
92947,1350,Distinction
92993,974,Pass
94484,2275,Pass
94616,199,Fail
94749,1845,Fail
94923,444,Fail
94961,1240,Withdrawn
94961,1240,Pass
94964,199,Fail
94978,1234,Withdrawn
95356,281,Withdrawn
95356,281,Withdrawn
95746,936,Pass
95755,381,Withdrawn
95906,1721,Pass
96117,539,Pass
96291,103,Withdrawn
96423,589,Pass
96475,207,Pass
96538,182,Fail
96592,776,Pass
96729,2707,Pass
96864,96,Withdrawn
96873,402,Fail
96874,283,Fail
96874,283,Fail
96945,9,Withdrawn
97006,189,Pass
97154,984,Pass
97486,13,Withdrawn
97486,13,Withdrawn
97567,471,Pass
97865,91,Withdrawn
97939,98,Fail
98094,2839,Pass
98256,355,Withdrawn
98268,770,Pass
98313,145,Pass
98452,35,Withdrawn
98720,439,Pass
98842,368,Pass
99075,1369,Fail
99088,359,Withdrawn
99151,397,Fail
99609,139,Withdrawn
99670,2109,Fail
99799,553,Pass
99993,3922,Pass
100064,6514,Pass
100282,42,Withdrawn
100561,950,Fail
100621,59,Withdrawn
100788,4395,Distinction
100788,4395,Pass
100893,744,Pass
101116,1769,Pass
101217,717,Withdrawn
101217,717,Fail
101279,112,Fail
101306,866,Fail
101420,5766,Pass
101634,380,Fail
101781,4104,Pass
102028,4382,Distinction
102067,67,Withdrawn
102209,535,Withdrawn
102221,1025,Pass
102343,3825,Pass
102806,1944,Pass
102849,1,Withdrawn
102850,1749,Pass
102854,4400,Distinction
102952,1150,Pass
103496,1221,Pass
103535,381,Pass
103800,170,Pass
103891,83,Withdrawn
103891,83,Withdrawn
103904,1579,Distinction
103998,49,Fail
104054,1451,Distinction
104213,2245,Distinction
104316,928,Fail
104476,4777,Pass
104480,203,Fail
104643,1496,Pass
104772,1157,Withdrawn
104772,1157,Fail
105125,558,Withdrawn
105168,1107,Fail
105168,1107,Fail
105413,963,Pass
105523,1954,Pass
105523,1954,Pass
105527,993,Pass
105629,5925,Pass
105851,385,Pass
105883,4022,Pass
105939,2900,Pass
106095,1243,Pass
106247,465,Withdrawn
106553,548,Pass
106577,733,Pass
106588,981,Distinction
106690,188,Withdrawn
106793,404,Fail
107028,666,Withdrawn
107028,666,Fail
107084,1493,Fail
107162,4243,Distinction
107339,4604,Pass
107339,4604,Distinction
107455,1040,Fail
107489,3722,Pass
107713,111,Withdrawn
107883,626,Withdrawn
108118,396,Pass
108207,3260,Pass
108281,3797,Pass
108330,3209,Pass
108377,2399,Pass
108497,2208,Pass
108565,203,Withdrawn
108589,411,Pass
108760,846,Fail
108789,102,Fail
108799,472,Distinction
108822,7427,Distinction
108834,290,Withdrawn
108859,1996,Pass
108872,1377,Pass
108949,557,Withdrawn
108949,557,Fail
109155,3019,Pass
109372,1450,Pass
109441,678,Pass
109577,3794,Fail
109577,3794,Pass
109772,199,Pass
109782,154,Withdrawn
109938,396,Distinction
110085,1679,Fail
110116,4092,Pass
110175,998,Pass
110200,157,Fail
110461,12,Withdrawn
110524,876,Pass
110529,3039,Withdrawn
110640,1805,Pass
110789,1084,Pass
110820,1114,Withdrawn
110881,5032,Pass
110881,5032,Pass
110911,520,Pass
111113,367,Fail
111360,697,Withdrawn
111360,697,Fail
111512,439,Fail
111548,542,Withdrawn
111678,4,Fail
111717,2343,Pass
111775,3211,Pass
111926,1553,Fail
111926,1553,Pass
111942,1853,Pass
111959,431,Withdrawn
112245,2262,Pass
112441,969,Pass
112454,1131,Pass
113295,3553,Pass
113565,2515,Pass
113698,271,Fail
113702,1936,Withdrawn
113824,590,Fail
114017,757,Pass
114367,2234,Pass
114402,1123,Distinction
114500,3570,Fail
114558,1620,Pass
114999,1358,Pass
115373,3386,Pass
115452,590,Fail
116174,257,Withdrawn
116174,257,Withdrawn
116290,139,Fail
116319,276,Pass
116499,166,Fail
116518,942,Pass
116529,1408,Withdrawn
116529,1408,Fail
116541,1886,Pass
116603,1179,Distinction
116606,511,Pass
116621,5554,Distinction
116631,551,Withdrawn
116692,1108,Pass
116763,115,Withdrawn
116808,12175,Distinction
117071,74,Fail
117197,1009,Pass
117232,2692,Pass
117232,2692,Pass
117281,1427,Pass
117435,1355,Withdrawn
117435,1355,Fail
117510,4070,Pass
117544,2580,Pass
117545,442,Fail
117550,252,Fail
117699,473,Distinction
117818,1695,Pass
117862,56,Withdrawn
117939,666,Withdrawn
118050,1206,Pass
118098,537,Fail
118176,147,Withdrawn
118213,21,Fail
118474,474,Distinction
118479,3463,Pass
118532,4531,Pass
118578,792,Withdrawn
118578,792,Withdrawn
118668,3249,Pass
118877,4,Withdrawn
118887,10,Withdrawn
118983,284,Pass
119310,2609,Withdrawn
119310,2609,Pass
119353,3766,Withdrawn
119353,3766,Pass
119444,614,Withdrawn
119444,614,Pass
119471,592,Fail
119729,573,Withdrawn
119865,2527,Distinction
119898,167,Pass
119902,2590,Withdrawn
120236,1281,Fail
120611,125,Fail
120994,740,Fail
120999,507,Pass
121000,342,Fail
121056,17,Withdrawn
121163,449,Withdrawn
121182,92,Distinction
121349,2259,Pass
121390,371,Fail
122337,634,Fail
122392,809,Pass
122459,270,Pass
122636,110,Fail
122739,526,Fail
122846,1051,Pass
122928,184,Fail
123044,2041,Pass
123053,342,Withdrawn
123087,470,Pass
123183,2893,Pass
123270,145,Fail
123462,1001,Pass
123497,497,Fail
123598,2092,Withdrawn
123598,2092,Pass
123598,2092,Distinction
123716,1068,Pass
123860,1292,Pass
123957,673,Withdrawn
123957,673,Fail
124006,734,Pass
124018,82,Withdrawn
124064,2042,Distinction
124124,21,Withdrawn
124134,1146,Fail
124193,945,Distinction
124304,1995,Pass
124379,167,Fail
124387,56,Withdrawn
124711,265,Withdrawn
124711,265,Withdrawn
124728,1988,Withdrawn
124728,1988,Withdrawn
124909,1520,Pass
124944,928,Pass
125018,2195,Pass
125055,863,Pass
125063,3676,Fail
125407,160,Pass
125535,196,Pass
125777,438,Withdrawn
125830,1810,Withdrawn
125874,45,Withdrawn
125874,45,Withdrawn
125996,3327,Pass
126074,209,Withdrawn
126088,1140,Fail
126322,526,Pass
126337,2514,Withdrawn
126337,2514,Withdrawn
126394,3782,Pass
126394,3782,Pass
126395,1549,Pass
126411,25,Fail
126450,2566,Pass
126608,443,Pass
126713,291,Pass
126769,1362,Pass
126800,1501,Pass
126812,2862,Withdrawn
126812,2862,Pass
127179,358,Withdrawn
127580,3002,Pass
127582,1321,Pass
127642,2906,Pass
127988,186,Pass
128072,153,Withdrawn
128132,1357,Pass
128142,1706,Fail
128348,493,Withdrawn
128386,66,Fail
128510,872,Withdrawn
128510,872,Pass
128656,386,Pass
128678,782,Fail
128723,76,Withdrawn
128776,146,Withdrawn
128791,1235,Withdrawn
128817,735,Withdrawn
128889,9524,Pass
128929,1410,Distinction
128965,518,Withdrawn
128965,518,Pass
128968,3192,Pass
128971,1982,Pass
129198,1516,Withdrawn
129198,1516,Withdrawn
129212,1427,Distinction
129638,921,Withdrawn
129878,251,Fail
129907,4139,Distinction
129955,1888,Withdrawn
129955,1888,Withdrawn
129989,1414,Distinction
130003,238,Fail
130013,252,Pass
130034,1831,Pass
130403,5639,Pass
130409,1630,Pass
130467,1224,Pass
130547,1252,Pass
130636,332,Pass
130658,3496,Pass
130671,1199,Withdrawn
130671,1199,Pass
130837,66,Fail
130992,2702,Pass
131051,999,Pass
131145,8229,Distinction
131145,8229,Pass
131152,377,Fail
131222,3902,Pass
131222,3902,Pass
131235,744,Withdrawn
131272,5485,Pass
131314,292,Pass
131390,157,Pass
131538,2307,Pass
131597,3110,Pass
131609,454,Withdrawn
131612,1655,Pass
131663,58,Fail
131695,223,Withdrawn
131695,223,Withdrawn
131776,1065,Pass
131820,168,Fail
131933,2039,Withdrawn
131933,2039,Pass
132123,1054,Pass
132157,2770,Fail
132157,2770,Pass
132191,79,Withdrawn
132401,996,Fail
132423,402,Withdrawn
132423,402,Withdrawn
132453,1661,Pass
132475,4300,Pass
132477,996,Pass
132511,403,Fail
132626,480,Withdrawn
132924,21,Fail
132932,447,Pass
132972,176,Pass
132976,520,Pass
133019,3783,Pass
133068,1235,Pass
133104,4168,Distinction
133104,4168,Pass
133155,1360,Pass
133185,3326,Pass
133322,2698,Fail
133365,2110,Pass
133419,491,Withdrawn
133718,585,Fail
133748,408,Fail
133816,4000,Pass
133922,574,Pass
134025,2896,Withdrawn
134025,2896,Distinction
134123,762,Pass
134143,2732,Distinction
134188,1150,Pass
134190,363,Withdrawn
134212,2096,Pass
134243,2275,Pass
134260,1157,Pass
134336,278,Fail
134563,5183,Pass
134578,185,Fail
134721,90,Withdrawn
134847,2103,Withdrawn
134847,2103,Pass
134851,6125,Pass
134920,236,Fail
134982,1088,Withdrawn
134982,1088,Pass
135075,2881,Pass
135280,2412,Distinction
135330,825,Fail
135330,825,Fail
135331,24,Fail
135335,73,Withdrawn
135335,73,Withdrawn
135385,2500,Pass
135400,610,Withdrawn
135400,610,Pass
135471,2291,Distinction
135763,581,Pass
135792,728,Fail
135999,188,Withdrawn
136054,2362,Pass
136135,878,Pass
136335,792,Withdrawn
136793,678,Pass
136894,2793,Pass
136944,1473,Withdrawn
136944,1473,Pass
137150,151,Withdrawn
137281,1040,Fail
137603,1628,Pass
137873,5528,Pass
137903,6273,Pass
138204,182,Fail
138289,575,Fail
138407,942,Withdrawn
138416,977,Pass
138704,1298,Pass
138709,702,Withdrawn
138709,702,Withdrawn
138710,737,Pass
138715,581,Withdrawn
138715,581,Fail
138861,818,Distinction
138920,437,Fail
138997,344,Fail
139033,790,Fail
139190,3198,Withdrawn
139190,3198,Pass
139206,4604,Distinction
139250,518,Distinction
139278,1881,Fail
139329,1131,Pass
139455,115,Fail
139549,286,Pass
139701,653,Fail
139843,127,Fail
139949,3610,Pass
140060,2110,Distinction
140108,61,Fail
140518,297,Fail
140719,260,Fail
140807,2568,Pass
140866,3028,Pass
140907,3407,Pass
141182,12,Withdrawn
141301,392,Withdrawn
141301,392,Withdrawn
141301,392,Withdrawn
141355,1823,Pass
141377,756,Withdrawn
141377,756,Pass
141430,3228,Pass
141497,491,Fail
141506,415,Fail
141648,5165,Pass
141766,7,Withdrawn
141823,276,Withdrawn
141827,460,Pass
141949,878,Pass
142092,2782,Distinction
142092,2782,Distinction
142310,2349,Pass
142324,778,Fail
142324,778,Pass
142326,2121,Pass
142339,5463,Distinction
142819,435,Pass
142935,6160,Pass
142990,135,Fail
142998,7,Withdrawn
142998,7,Withdrawn
143350,2637,Pass
143711,2127,Distinction
143741,704,Distinction
143755,4529,Pass
144448,4365,Distinction
144562,1984,Fail
144745,2578,Pass
144745,2578,Pass
144747,1661,Distinction
144801,5645,Pass
144895,1501,Pass
144908,342,Withdrawn
144923,311,Fail
144959,864,Withdrawn
144959,864,Withdrawn
145114,2004,Fail
145114,2004,Pass
145130,452,Pass
145188,26,Fail
145280,662,Pass
145282,1552,Distinction
145388,259,Fail
145490,1121,Fail
145544,862,Pass
145578,659,Withdrawn
145640,2305,Distinction
145640,2305,Distinction
145770,42,Withdrawn
146089,1,Fail
146125,588,Withdrawn
146125,588,Withdrawn
146165,167,Pass
146188,597,Fail
146192,5,Fail
146455,91,Withdrawn
146485,856,Fail
146503,368,Pass
146600,324,Pass
146651,650,Fail
146666,708,Fail
146679,637,Withdrawn
146738,3756,Distinction
146943,821,Withdrawn
146974,1054,Pass
147168,8583,Pass
147307,221,Withdrawn
147328,2457,Pass
147675,866,Withdrawn
147715,861,Fail
147756,1718,Fail
147756,1718,Pass
147793,155,Withdrawn
147876,342,Fail
148008,529,Fail
148282,197,Fail
148328,1576,Withdrawn
148414,1328,Pass
148427,421,Pass
148515,28,Fail
148931,306,Withdrawn
148993,3812,Withdrawn
148993,3812,Pass
149178,2824,Pass
149567,485,Withdrawn
149680,5338,Pass
149693,2835,Pass
149741,2342,Pass
149962,141,Pass
149964,200,Withdrawn
150121,1113,Withdrawn
150121,1113,Fail
150282,1794,Pass
150398,2129,Distinction
150578,674,Fail
150763,9875,Pass
151358,270,Pass
151465,2495,Pass
151549,285,Fail
151587,166,Withdrawn
151697,424,Pass
151745,591,Pass
151800,85,Fail
151917,1622,Fail
151917,1622,Pass
152153,500,Withdrawn
152320,2347,Withdrawn
152320,2347,Pass
152428,3064,Pass
152524,9671,Distinction
152587,5089,Pass
152626,7798,Withdrawn
152626,7798,Pass
152668,765,Withdrawn
152671,381,Distinction
152867,28,Withdrawn
152887,351,Withdrawn
152910,2194,Pass
152917,7558,Distinction
152929,299,Pass
152962,8137,Pass
152973,784,Pass
153110,534,Fail
153170,1056,Pass
153212,842,Distinction
153611,2000,Fail
153704,580,Withdrawn
153704,580,Fail
153785,5075,Pass
153788,3457,Withdrawn
153788,3457,Withdrawn
153788,3457,Fail
154011,681,Pass
154027,569,Pass
154057,1465,Fail
154059,1977,Pass
154073,343,Fail
154125,97,Fail
154191,2695,Distinction
154540,417,Pass
154570,12401,Withdrawn
154697,71,Withdrawn
155067,75,Fail
155158,2386,Pass
155256,407,Distinction
155298,1981,Pass
155298,1981,Pass
155484,2092,Distinction
155511,5057,Distinction
155550,1529,Pass
155631,1258,Pass
155735,133,Withdrawn
155854,4003,Pass
155938,2735,Pass
155956,2175,Fail
155963,452,Distinction
155984,2645,Withdrawn
155984,2645,Pass
156127,243,Fail
156171,2421,Pass
156311,575,Pass
156358,652,Withdrawn
156594,2094,Pass
156783,1101,Pass
156788,21,Withdrawn
156788,21,Withdrawn
156835,1290,Pass
157060,302,Pass
157225,911,Withdrawn
157276,3132,Distinction
157298,1332,Pass
157308,2675,Pass
157310,944,Withdrawn
157310,944,Withdrawn
157310,944,Pass
157310,944,Withdrawn
157568,1405,Pass
157647,124,Fail
157752,368,Fail
157795,1519,Pass
158575,457,Withdrawn
158611,752,Pass
158707,4746,Withdrawn
158708,1680,Pass
158831,981,Pass
159287,2892,Pass
159293,799,Distinction
159484,101,Fail
159571,444,Fail
159596,571,Withdrawn
159906,1267,Pass
159925,2466,Pass
159947,2495,Fail
159954,2062,Withdrawn
159954,2062,Withdrawn
160005,3922,Pass
160026,95,Pass
160181,2746,Withdrawn
160193,314,Withdrawn
160262,308,Fail
160300,2235,Pass
160310,4149,Fail
160401,86,Withdrawn
160472,1681,Fail
160479,429,Pass
160536,1900,Pass
160536,1900,Pass
160720,9,Withdrawn
160934,143,Fail
160945,572,Pass
160946,1711,Pass
161491,970,Distinction
161658,958,Fail
161678,94,Fail
161781,740,Withdrawn
161781,740,Fail
161878,36,Withdrawn
162210,2955,Distinction
162337,1219,Fail
162337,1219,Fail
162650,399,Fail
162809,2460,Pass
162901,29,Withdrawn
162984,93,Withdrawn
163067,1066,Withdrawn
163067,1066,Pass
163120,3716,Pass
163332,655,Fail
163962,19,Withdrawn
163996,775,Fail
164148,4129,Pass
164211,481,Distinction
164259,466,Pass
164708,283,Withdrawn
164922,507,Pass
164935,673,Pass
164944,1300,Pass
164968,2613,Fail
164968,2613,Pass
165099,429,Fail
165178,752,Withdrawn
165178,752,Fail
165226,1062,Fail
165243,1111,Pass
165376,911,Pass
165421,1178,Fail
165498,164,Withdrawn
165509,574,Pass
165617,4104,Fail
165647,710,Withdrawn
165647,710,Fail
165733,3948,Withdrawn
165733,3948,Withdrawn
165733,3948,Fail
165806,1495,Fail
165823,74,Withdrawn
165898,56,Fail
165904,963,Distinction
166123,2912,Pass
166160,3160,Distinction
166183,112,Fail
166327,3667,Pass
166342,810,Pass
166421,3328,Pass
166607,32,Withdrawn
166713,2223,Pass
166988,922,Pass
167106,2761,Pass
167557,641,Withdrawn
167717,286,Fail
167759,2027,Fail
167791,2734,Pass
167791,2734,Distinction
167906,1510,Pass
167945,479,Withdrawn
167961,2129,Pass
168178,1293,Pass
168229,6765,Distinction
168243,161,Withdrawn
168843,465,Withdrawn
168936,745,Pass
169008,910,Pass
169079,1832,Distinction
169213,332,Pass
169297,400,Withdrawn
169380,993,Pass
169400,1208,Distinction
169490,2747,Fail
169515,212,Withdrawn
169555,277,Fail
169596,1242,Fail
169700,32,Fail
169858,1296,Pass
169894,1045,Withdrawn
169894,1045,Pass
169908,643,Fail
170025,691,Withdrawn
170025,691,Pass
170030,2759,Pass
170030,2759,Distinction
170165,3807,Pass
170356,439,Withdrawn
170864,4774,Distinction
170874,2126,Pass
170936,339,Pass
170943,2774,Pass
171304,1359,Fail
171334,380,Withdrawn
171549,1053,Withdrawn
171692,2326,Fail
171692,2326,Withdrawn
171751,320,Pass
171843,1260,Pass
171896,3250,Withdrawn
171896,3250,Withdrawn
171896,3250,Pass
172112,1939,Pass
172137,2095,Pass
172301,35,Withdrawn
172493,3671,Pass
172797,1782,Pass
172965,2222,Distinction
172965,2222,Withdrawn
172965,2222,Withdrawn
172965,2222,Pass
173004,1583,Withdrawn
