clicks_day30,active_days,avg_assessment_score,early_withdraw,target,gender_enc,region_enc,highest_education_enc,imd_band_enc,age_band_enc,disability_enc,code_module_enc,code_presentation_enc
362.0,63.0,79.2,0,1,1,3,2,4,0,0,0,1
132.0,49.0,73.4,0,1,0,6,0,3,0,0,0,1
82.0,15.0,55.4,0,0,1,10,2,7,1,0,0,1
49.0,8.0,0.0,0,0,1,5,1,3,0,0,0,1
873.0,87.0,60.6,0,1,1,9,0,3,1,0,0,1
112.0,68.0,71.0,0,1,1,7,0,9,1,0,0,1
215.0,47.0,67.8,0,1,1,0,0,9,0,0,0,1
610.0,108.0,70.4,0,1,1,10,0,2,0,0,0,1
131.0,33.0,75.0,0,1,1,5,0,3,0,0,0,1
1405.0,229.0,83.6,0,1,1,7,0,9,1,0,0,1
0.0,0.0,0.0,1,0,0,7,0,9,1,0,0,1
6.0,28.0,46.75,0,1,1,1,0,7,0,0,0,1
631.0,119.0,78.2,0,1,1,7,1,9,2,0,0,1
208.0,94.0,52.8,0,1,1,7,0,9,0,0,0,1
673.0,166.0,71.0,0,0,1,7,0,4,1,0,0,1
688.0,124.0,86.8,0,1,1,8,4,9,2,0,0,1
213.0,58.0,80.8,0,1,0,7,1,8,0,0,0,1
687.0,108.0,78.8,0,1,1,11,0,3,1,0,0,1
153.0,24.0,58.666666666666664,0,0,0,0,0,4,0,0,0,1
115.0,11.0,64.0,0,0,1,5,0,7,0,0,0,1
586.0,85.0,78.0,0,1,1,11,0,7,0,1,0,1
68.0,6.0,0.0,1,0,0,10,2,8,0,0,0,1
240.0,81.0,58.2,0,1,1,11,0,5,1,0,0,1
375.0,110.0,82.0,0,1,1,0,0,9,1,0,0,1
1201.0,189.0,62.6,0,1,0,3,0,1,0,0,0,1
292.0,87.0,81.2,0,1,0,1,1,1,0,0,0,1
450.0,76.0,60.0,0,1,1,11,0,7,0,0,0,1
602.0,145.0,59.2,0,1,1,9,0,6,2,0,0,1
3915.0,271.0,87.8,0,1,1,8,4,9,2,0,0,1
135.0,46.0,61.8,0,1,1,8,0,9,0,0,0,1
442.0,106.0,66.6,0,1,0,0,1,8,0,0,0,1
982.0,232.0,78.4,0,1,0,1,0,5,0,0,0,1
3003.0,239.0,80.4,0,1,1,8,1,9,2,0,0,1
661.0,122.0,80.4,0,1,1,0,1,4,1,0,0,1
441.0,110.0,57.6,0,1,0,9,0,1,1,0,0,1
66.0,38.0,61.2,0,1,1,7,0,9,0,0,0,1
1737.0,201.0,84.66666666666667,0,0,0,8,1,9,1,0,0,1
390.0,72.0,74.4,0,1,0,0,0,6,1,0,0,1
46.0,31.0,65.8,0,1,1,6,0,2,0,0,0,1
189.0,36.0,74.4,0,1,1,6,1,8,0,0,0,1
254.0,27.0,53.0,0,0,0,3,0,5,0,0,0,1
246.0,33.0,36.0,0,0,0,9,0,0,0,1,0,1
1498.0,187.0,86.875,0,0,0,7,0,2,0,0,0,1
512.0,111.0,68.2,0,1,1,0,0,9,0,0,0,1
117.0,33.0,49.8,0,1,1,4,0,8,0,0,0,1
0.0,35.0,64.2,0,0,1,0,2,4,0,0,0,1
1182.0,161.0,82.33333333333333,0,0,0,11,1,7,0,0,0,1
586.0,98.0,77.2,0,1,1,6,2,5,2,0,0,1
337.0,72.0,60.4,0,1,1,12,1,0,0,0,0,1
920.0,173.0,78.4,0,1,1,2,1,7,1,0,0,1
28.0,18.0,49.2,0,0,1,12,0,1,0,0,0,1
105.0,51.0,78.0,0,1,1,0,0,6,0,1,0,1
501.0,134.0,80.4,0,1,1,12,0,3,0,0,0,1
172.0,103.0,82.4,0,1,1,0,0,5,0,0,0,1
106.0,8.0,0.0,0,0,0,6,1,5,1,0,0,1
219.0,78.0,73.8,0,1,1,5,1,8,1,0,0,1
198.0,7.0,0.0,1,0,1,8,1,9,1,0,0,1
43.0,27.0,57.0,0,0,1,12,0,1,0,0,0,1
209.0,63.0,69.0,0,0,1,0,2,7,1,0,0,1
407.0,78.0,56.4,0,1,0,3,0,0,0,0,0,1
594.0,148.0,70.0,0,1,1,0,2,1,1,0,0,1
377.0,129.0,76.8,0,1,1,9,1,4,0,0,0,1
114.0,32.0,50.4,0,1,0,9,0,5,0,1,0,1
72.0,25.0,55.6,0,0,1,10,1,5,1,0,0,1
336.0,52.0,66.4,0,1,1,12,2,0,0,0,0,1
899.0,154.0,87.0,0,1,1,4,1,-1,0,0,0,1
445.0,124.0,72.8,0,1,0,8,0,8,1,0,0,1
357.0,97.0,67.8,0,1,1,1,0,8,0,0,0,1
145.0,91.0,75.6,0,1,1,12,0,9,0,0,0,1
45.0,31.0,67.8,0,1,1,2,2,-1,0,0,0,1
336.0,114.0,68.0,0,1,1,12,0,7,0,0,0,1
296.0,57.0,63.8,0,1,0,3,2,8,1,0,0,1
303.0,50.0,60.6,0,1,1,9,0,9,1,0,0,1
510.0,91.0,68.625,0,0,1,6,0,0,0,0,0,1
161.0,44.0,45.0,0,0,1,11,0,7,0,0,0,1
472.0,177.0,68.4,0,1,0,5,0,5,1,0,0,1
241.0,50.0,74.2,0,1,1,5,0,6,0,0,0,1
205.0,70.0,61.4,0,1,1,12,1,5,0,0,0,1
248.0,87.0,46.4,0,0,1,12,2,9,0,0,0,1
461.0,90.0,65.0,0,1,0,7,2,8,0,0,0,1
636.0,83.0,72.6,0,1,1,9,2,5,1,0,0,1
375.0,26.0,43.8,0,1,1,10,2,2,1,0,0,1
374.0,87.0,77.2,0,1,1,4,0,2,0,0,0,1
0.0,0.0,0.0,1,0,1,6,0,9,0,1,0,1
233.0,105.0,76.4,0,1,1,12,0,5,0,0,0,1
1021.0,55.0,59.666666666666664,0,0,1,11,1,0,1,0,0,1
108.0,27.0,76.0,0,0,1,6,0,4,0,1,0,1
85.0,25.0,58.4,0,1,0,5,0,7,0,0,0,1
242.0,50.0,59.8,0,1,0,7,0,7,0,0,0,1
160.0,43.0,70.6,0,1,1,3,0,2,0,0,0,1
591.0,49.0,40.5,0,0,1,9,1,8,0,0,0,1
289.0,140.0,87.6,0,1,1,3,1,3,0,0,0,1
361.0,32.0,79.33333333333333,0,0,1,7,1,9,1,0,0,1
822.0,131.0,70.6,0,1,0,9,0,2,0,0,0,1
58.0,2.0,0.0,0,0,0,4,0,8,0,0,0,1
328.0,78.0,66.6,0,1,1,7,1,8,0,0,0,1
322.0,88.0,73.0,0,1,1,5,1,8,1,0,0,1
575.0,61.0,71.8,0,1,1,3,0,4,0,0,0,1
110.0,58.0,72.4,0,1,1,7,1,9,0,0,0,1
1047.0,112.0,81.0,0,1,1,5,1,4,0,0,0,1
471.0,66.0,72.0,0,1,1,7,1,6,0,0,0,1
75.0,32.0,59.2,0,0,1,11,1,8,0,0,0,1
226.0,17.0,81.5,0,0,0,6,1,3,0,0,0,1
159.0,42.0,73.2,0,1,1,11,1,7,0,0,0,1
614.0,50.0,71.4,0,1,1,2,1,9,0,0,0,1
88.0,19.0,40.0,0,0,1,0,0,3,0,0,0,1
1255.0,259.0,82.8,0,1,1,9,0,9,0,0,0,1
262.0,36.0,76.2,0,1,1,8,4,9,1,0,0,1
306.0,84.0,63.0,0,0,1,4,1,-1,2,0,0,1
277.0,34.0,66.0,0,0,1,6,4,9,1,0,0,1
825.0,131.0,66.0,0,1,1,8,1,9,2,0,0,1
963.0,226.0,80.8,0,1,1,11,0,6,2,0,0,1
3440.0,81.0,65.0,1,0,0,8,2,5,2,0,0,1
1299.0,187.0,72.0,0,1,1,8,2,7,2,0,0,1
1758.0,229.0,81.2,0,1,1,11,0,6,2,0,0,1
731.0,166.0,76.4,0,1,0,0,0,9,1,0,0,1
407.0,94.0,61.8,0,1,0,9,0,5,1,0,0,1
200.0,102.0,77.2,0,1,1,5,1,4,1,0,0,1
170.0,66.0,72.0,0,1,0,0,0,4,1,0,0,1
654.0,135.0,59.75,0,0,1,9,0,8,1,0,0,1
839.0,158.0,68.0,0,1,0,11,1,9,1,0,0,1
1799.0,176.0,56.6,0,1,1,8,1,9,1,0,0,1
410.0,150.0,70.0,0,1,0,3,2,3,1,0,0,1
610.0,125.0,82.6,0,1,1,6,1,8,2,0,0,1
478.0,126.0,68.57142857142857,0,0,1,12,0,2,1,0,0,1
175.0,24.0,35.0,0,0,1,11,0,7,1,0,0,1
419.0,75.0,75.2,0,1,0,1,1,3,1,0,0,1
795.0,43.0,59.0,0,0,0,12,0,1,1,0,0,1
934.0,49.0,63.0,1,0,1,9,0,9,1,0,0,1
712.0,165.0,81.8,0,1,1,11,1,4,1,0,0,1
337.0,76.0,61.9,0,0,0,0,2,4,1,1,0,1
1034.0,155.0,61.8,0,1,1,3,0,7,1,0,0,1
1151.0,133.0,73.0,0,1,0,7,2,8,1,0,0,1
275.0,19.0,79.6,0,1,1,3,2,9,1,0,0,1
666.0,44.0,77.5,0,0,1,8,1,9,1,0,0,1
1775.0,215.0,84.6,0,1,1,5,0,6,1,0,0,1
1455.0,227.0,85.0,0,1,1,11,0,3,1,0,0,1
643.0,29.0,68.0,0,0,0,5,2,5,1,0,0,1
626.0,124.0,78.2,0,1,0,6,1,4,1,0,0,1
362.0,75.0,83.8,0,1,1,0,0,6,1,0,0,1
1397.0,75.0,61.0,0,0,1,8,2,3,1,0,0,1
420.0,3.0,0.0,1,0,0,6,0,1,1,0,0,1
2244.0,224.0,66.2,0,1,1,7,1,7,2,0,0,1
457.0,86.0,76.8,0,1,1,2,1,-1,1,0,0,1
205.0,41.0,77.4,0,1,1,6,0,3,1,0,0,1
1111.0,238.0,71.0,0,1,1,9,2,4,1,0,0,1
709.0,228.0,62.6,0,1,1,9,2,4,1,1,0,1
433.0,99.0,72.0,0,1,1,12,0,5,1,0,0,1
324.0,63.0,73.6,0,1,0,8,0,7,1,1,0,1
786.0,120.0,70.4,0,1,0,1,0,8,0,0,0,1
754.0,147.0,73.0,0,1,1,8,0,9,1,0,0,1
266.0,47.0,53.6,0,1,0,0,2,4,1,1,0,1
3320.0,254.0,83.6,0,0,1,11,2,0,1,0,0,1
241.0,60.0,67.25,0,1,1,2,2,5,1,0,0,1
329.0,81.0,76.0,0,1,0,0,0,9,0,1,0,1
332.0,39.0,78.4,0,1,1,5,2,3,1,0,0,1
653.0,94.0,66.6,0,1,0,9,2,7,1,0,0,1
622.0,145.0,61.2,0,0,0,0,0,6,0,0,0,1
1.0,34.0,35.666666666666664,0,0,1,3,0,3,1,1,0,1
494.0,76.0,58.857142857142854,0,0,0,3,2,3,1,0,0,1
280.0,78.0,69.6,0,1,0,8,0,9,1,0,0,1
378.0,65.0,67.8,0,1,0,11,0,0,0,0,0,1
955.0,87.0,59.75,0,0,0,9,2,5,1,0,0,1
368.0,53.0,65.6,0,1,1,11,2,0,1,0,0,1
1063.0,170.0,82.4,0,1,0,5,2,8,1,0,0,1
406.0,126.0,66.5,0,0,1,3,0,5,1,0,0,1
648.0,83.0,52.6,0,1,0,8,2,7,1,0,0,1
556.0,188.0,70.0,0,1,1,5,1,2,2,0,0,1
319.0,8.0,0.0,1,0,1,6,0,7,1,1,0,1
884.0,110.0,62.2,0,1,0,12,0,4,0,0,0,1
592.0,56.0,73.8,0,1,0,11,2,8,0,1,0,1
186.0,11.0,70.0,0,0,0,5,0,4,0,0,0,1
356.0,73.0,69.0,0,1,0,12,0,3,1,0,0,1
1108.0,164.0,66.0,0,1,0,3,0,7,1,0,0,1
537.0,95.0,67.2,0,1,0,0,0,5,1,0,0,1
402.0,72.0,75.6,0,1,0,5,1,3,1,0,0,1
457.0,69.0,71.2,0,1,1,6,0,2,0,0,0,1
838.0,168.0,76.4,0,1,0,11,0,1,1,0,0,1
1043.0,82.0,54.5,0,0,0,8,0,8,1,0,0,1
499.0,118.0,83.0,0,1,0,1,0,2,0,0,0,1
195.0,33.0,51.4,0,1,1,8,2,3,1,0,0,1
203.0,24.0,61.2,0,1,1,8,0,9,0,0,0,1
282.0,44.0,32.0,0,0,0,1,1,2,1,0,0,1
486.0,82.0,75.8,1,0,1,10,0,9,1,0,0,1
0.0,0.0,0.0,1,0,0,6,1,9,1,0,0,1
242.0,36.0,57.2,0,1,0,0,2,4,1,0,0,1
234.0,28.0,80.0,0,1,0,3,2,4,0,0,0,1
577.0,107.0,73.2,0,0,1,12,2,2,1,0,0,1
136.0,30.0,51.5,0,0,0,12,0,6,0,0,0,1
407.0,123.0,67.8,0,0,0,4,1,-1,0,0,0,1
453.0,125.0,69.0,0,0,0,0,0,7,0,0,0,1
1993.0,257.0,83.4,0,1,0,6,1,9,0,1,0,1
0.0,0.0,0.0,1,0,1,7,1,2,0,0,0,1
329.0,93.0,75.6,0,1,0,0,0,8,0,0,0,1
823.0,70.0,50.6,0,1,0,3,2,7,1,0,0,1
335.0,83.0,73.4,0,1,0,1,0,2,0,0,0,1
328.0,44.0,73.0,0,0,1,8,0,9,0,0,0,1
326.0,23.0,46.8,0,0,0,8,0,8,0,0,0,1
944.0,42.0,80.0,0,0,1,6,1,2,0,0,0,1
1422.0,202.0,82.8,0,1,1,9,2,5,1,0,0,1
537.0,166.0,77.6,0,1,0,8,0,8,1,0,0,1
778.0,51.0,51.0,0,0,1,3,0,1,1,1,0,1
726.0,101.0,74.4,0,1,0,4,0,3,0,0,0,1
119.0,39.0,60.6,0,1,0,1,0,3,0,0,0,1
95.0,21.0,24.666666666666668,0,0,1,6,2,8,1,0,0,1
528.0,94.0,70.0,0,1,1,8,2,8,1,0,0,1
805.0,229.0,90.6,0,1,1,3,2,8,1,0,0,1
854.0,177.0,78.8,0,1,1,6,1,9,2,0,0,1
465.0,53.0,56.0,0,0,1,8,1,7,2,0,0,1
103.0,33.0,44.5,0,0,0,12,2,2,1,0,0,1
1215.0,145.0,67.0,0,0,0,6,1,5,2,0,0,1
114.0,43.0,79.6,0,1,1,5,0,4,0,0,0,1
1063.0,97.0,75.8,0,1,1,10,2,8,1,0,0,1
587.0,111.0,55.6,0,1,1,8,2,9,0,0,0,1
395.0,99.0,73.6,0,1,0,0,1,9,0,0,0,1
384.0,150.0,77.2,0,1,0,5,2,4,0,0,0,1
483.0,198.0,79.4,0,1,1,7,1,4,1,0,0,1
474.0,97.0,76.6,0,1,1,1,0,9,0,0,0,1
270.0,75.0,60.8,0,1,0,3,2,1,0,0,0,1
181.0,76.0,61.75,0,1,1,5,0,2,2,0,0,1
636.0,64.0,78.0,0,1,0,5,1,6,1,0,0,1
182.0,62.0,63.2,0,1,0,0,0,8,0,0,0,1
167.0,95.0,80.8,0,1,1,8,1,9,2,0,0,1
228.0,9.0,0.0,1,0,0,11,2,4,0,0,0,1
796.0,166.0,62.6,0,1,0,4,1,-1,1,0,0,1
283.0,135.0,64.8,0,1,0,8,2,9,0,0,0,1
371.0,13.0,53.5,0,0,0,8,1,8,1,0,0,1
1481.0,171.0,80.6,0,1,0,8,1,9,1,0,0,1
1721.0,248.0,81.2,0,1,1,12,1,8,2,0,0,1
330.0,51.0,71.2,0,1,1,9,2,3,0,0,0,1
105.0,17.0,65.4,0,1,1,0,0,7,0,0,0,1
390.0,83.0,71.8,0,1,0,8,0,8,0,0,0,1
297.0,82.0,71.8,0,1,0,8,0,9,1,0,0,1
142.0,52.0,71.2,0,0,1,8,0,9,0,0,0,1
254.0,81.0,75.4,0,1,1,2,1,-1,1,0,0,1
567.0,129.0,70.8,0,1,1,12,2,7,1,0,0,1
254.0,17.0,64.0,0,0,1,5,0,7,0,0,0,1
396.0,135.0,79.6,0,1,0,11,0,1,0,1,0,1
1049.0,121.0,73.6,0,1,0,0,2,8,1,0,0,1
707.0,56.0,76.0,0,1,0,9,0,5,0,0,0,1
540.0,123.0,72.6,0,1,0,0,0,8,1,0,0,1
292.0,76.0,76.4,0,1,0,6,0,3,0,0,0,1
231.0,31.0,70.0,0,1,1,11,0,2,0,0,0,1
123.0,48.0,71.4,0,1,0,1,0,9,0,0,0,1
356.0,60.0,78.2,0,1,0,3,2,1,1,0,0,1
269.0,86.0,64.8,0,1,0,12,0,8,0,0,0,1
92.0,5.0,0.0,0,0,1,11,0,4,0,1,0,1
215.0,46.0,56.0,0,1,1,1,0,1,0,0,0,1
342.0,132.0,79.4,0,1,0,5,0,9,1,0,0,1
513.0,151.0,65.6,0,1,1,7,2,3,1,0,0,1
1490.0,216.0,79.2,0,1,1,1,2,5,1,0,0,1
803.0,107.0,51.2,0,1,0,9,0,8,1,0,0,1
413.0,125.0,82.6,0,1,0,9,0,4,0,0,0,1
987.0,211.0,83.4,0,1,1,0,2,6,1,0,0,1
224.0,56.0,84.2,0,1,1,3,0,0,1,0,0,1
140.0,72.0,63.2,0,1,1,7,1,9,1,0,0,1
200.0,46.0,76.0,0,1,1,5,0,9,0,0,0,1
70.0,30.0,57.2,0,0,1,12,0,9,0,0,0,1
817.0,121.0,68.8,0,1,1,3,1,2,2,0,0,1
133.0,26.0,43.333333333333336,0,0,0,4,1,1,0,0,0,1
599.0,105.0,71.4,0,1,0,8,0,8,0,0,0,1
640.0,202.0,78.6,0,1,0,1,2,3,0,0,0,1
86.0,12.0,67.8,0,1,1,0,0,1,0,0,0,1
866.0,257.0,81.6,0,1,1,0,0,4,1,0,0,1
547.0,193.0,84.8,0,1,0,11,0,5,0,0,0,1
94.0,76.0,58.25,0,1,1,8,0,4,1,0,0,1
712.0,206.0,79.4,0,1,1,0,0,7,1,0,0,1
291.0,69.0,67.8,0,1,1,1,2,6,0,0,0,1
834.0,159.0,61.8,0,1,1,6,1,8,2,0,0,3
122.0,56.0,46.8,0,1,0,8,2,6,0,0,0,3
830.0,118.0,86.2,0,1,0,0,0,6,1,0,0,3
585.0,148.0,77.6,0,1,1,12,2,4,1,0,0,3
231.0,19.0,54.8,0,1,0,9,0,4,0,0,0,3
113.0,46.0,64.8,0,1,1,4,1,3,1,0,0,3
2280.0,190.0,63.0,0,1,0,12,2,0,1,0,0,3
614.0,75.0,71.0,0,1,0,11,0,6,0,0,0,3
2018.0,149.0,76.0,0,1,1,0,1,9,2,0,0,3
564.0,102.0,73.4,0,1,0,10,0,7,0,0,0,3
192.0,54.0,71.6,0,1,0,1,0,1,0,0,0,3
333.0,87.0,51.4,0,1,1,7,0,8,1,0,0,3
97.0,13.0,67.0,0,0,0,0,0,7,0,0,0,3
1080.0,227.0,80.2,0,1,0,6,1,4,0,0,0,3
319.0,79.0,81.8,0,1,1,5,0,4,0,0,0,3
404.0,76.0,60.666666666666664,0,0,1,8,2,8,1,0,0,3
149.0,32.0,58.0,0,1,0,9,2,3,0,0,0,3
156.0,75.0,77.6,0,1,1,6,0,5,1,0,0,3
479.0,127.0,71.2,0,1,1,3,2,8,1,0,0,3
447.0,29.0,50.0,0,0,1,7,2,1,1,0,0,3
583.0,93.0,65.33333333333333,0,1,1,8,2,7,1,0,0,3
319.0,43.0,45.0,0,0,1,7,2,9,0,0,0,3
555.0,126.0,82.6,0,1,0,0,2,6,1,0,0,3
1268.0,184.0,82.0,0,1,0,3,1,2,0,0,0,3
327.0,83.0,61.8,0,1,1,3,1,8,2,0,0,3
698.0,135.0,67.8,0,1,0,8,1,9,0,0,0,3
414.0,21.0,0.0,0,0,1,10,0,4,0,0,0,3
504.0,98.0,57.6,0,1,0,3,0,4,1,0,0,3
1138.0,81.0,67.0,0,0,0,9,0,6,1,0,0,3
285.0,98.0,76.0,0,1,0,9,0,4,1,0,0,3
365.0,162.0,87.2,0,1,0,7,0,6,0,0,0,3
783.0,121.0,64.8,0,1,1,8,1,7,1,0,0,3
529.0,110.0,81.0,0,0,1,11,0,5,0,0,0,3
536.0,103.0,78.4,0,1,0,0,0,6,1,0,0,3
485.0,82.0,58.4,0,1,0,8,0,7,1,0,0,3
124.0,20.0,60.0,0,1,1,7,0,1,0,0,0,3
140.0,9.0,78.6,0,1,1,0,0,9,1,0,0,3
867.0,128.0,65.4,0,1,0,8,0,7,1,0,0,3
213.0,58.0,78.2,0,1,1,4,2,0,0,0,0,3
73.0,14.0,0.0,1,0,0,0,2,2,0,0,0,3
301.0,43.0,53.142857142857146,0,1,0,7,2,9,1,1,0,3
734.0,127.0,84.0,0,1,1,0,2,9,1,0,0,3
97.0,60.0,61.0,0,0,1,7,0,9,1,0,0,3
91.0,41.0,48.833333333333336,0,1,1,9,0,9,0,0,0,3
